MODEL_NAME,NUM_EPOCHS,NUM_TRAJ,TRAJ_LENGTH,ACTIVATION,HIDDEN_SIZE,BETA,TRAIN_LOSS,TRAIN_AVERAGE_EUCLIDEAN_DISTANCE,VAL_LOSS,VAL_AVERAGE_EUCLIDEAN_DISTANCE,TEST_LOSS,TEST_AVERAGE_EUCLIDEAN_DISTANCE,Lyapunov1,Lyapunov2,Lyapunov3,MIN_SV3,MIN_GRAD_SV3
2026-08-04T14-20-33_tanh_4_22,200,100,5,tanh,4,1,0.0039567,0.0946592,0.0048148,0.1099021,0.0038657,0.100007,0.6781056531370675,-0.0107902927320046,-16.325659102085048,0.749687606494561,-0.6111090340298568
2026-08-04T14-20-33_tanh_4_23,200,100,5,tanh,4,1,0.0105697,0.1469867,0.0073895,0.1256229,0.0187416,0.2132067,0.1121877236351203,-0.017407722139402,-7.844915798651473,0.8091705163675632,-0.7329976660190435
2026-08-04T14-20-33_tanh_4_24,200,100,5,tanh,4,1,0.0043642,0.0959559,0.0033824,0.0883343,0.0032073,0.0770913,0.303247892104255,-0.0123727040165253,-13.800001264629753,0.7734838046215142,-0.7125949720239095
2026-08-04T14-20-33_tanh_4_25,200,100,5,tanh,4,1,0.0237526,0.234107,0.0162123,0.2092236,0.1349398,0.4225971,0.061606818605525,-0.0289168874907632,-6.437232230744806,0.858209508952152,-0.3533229034282908
2026-08-04T14-20-33_tanh_4_26,200,100,5,tanh,4,1,0.0322619,0.2673598,0.0239707,0.2367268,0.0318061,0.2710486,0.039938537161579,-0.0528246725823042,-1.847665717229236,0.8440256195399515,-0.5706811091788216
2026-08-04T14-20-33_tanh_4_27,200,100,5,tanh,4,1,0.0045245,0.1014373,0.0063843,0.1093608,0.0019302,0.067296,0.8491753240418969,-0.0115318023274345,-16.530360787664826,0.6748333613263019,-1.6169629978417883
2026-08-04T14-20-33_tanh_4_28,200,100,5,tanh,4,1,0.0050582,0.1048357,0.0143504,0.1496275,0.0069355,0.1231945,0.40935943791689,-0.0185659581190756,-15.380863269735048,0.732827355409645,-0.7753405369532411
2026-08-04T14-20-33_tanh_4_29,200,100,5,tanh,4,1,0.0112762,0.1651676,0.0093243,0.156895,0.0083118,0.1483488,-0.2300046972828999,-0.232630626184681,-14.252462109676935,0.8365662458896155,-0.002531116611239
2026-08-04T14-20-33_tanh_4_30,200,100,5,tanh,4,1,0.0108078,0.1476473,0.0120306,0.1632176,0.011747,0.151592,0.4778365246533165,0.0017517242815578,-9.747428278444277,0.3673032357312006,-13.495668951389964
2026-08-04T14-20-33_tanh_4_31,200,100,5,tanh,4,1,0.0206225,0.2034586,0.0100413,0.1599367,0.0465591,0.2879244,0.0065103309003602,-0.4516777415535312,-8.01253543319534,0.7178697762483417,-1.1839182433669118
2026-08-04T14-20-33_tanh_4_32,200,100,5,tanh,4,1,0.0382286,0.2779316,0.0334351,0.2778342,0.0349961,0.2942471,0.0067387734062451,-1.987427372398344,-2.01946702350695,0.8252298633040148,-0.3540196457247613
2026-08-04T14-20-33_tanh_4_33,200,100,5,tanh,4,1,0.0164118,0.181948,0.0335441,0.2465398,0.0249396,0.2390363,-14.380489077809369,-15.95662335923517,-32.61816866482805,0.3276144756385674,-1.995041386883604
2026-08-04T14-20-33_tanh_4_34,200,100,5,tanh,4,1,0.0143509,0.182467,0.0082362,0.1383419,0.015426,0.1800102,0.0086727941100736,-0.2603145509712626,-1.725827662840916,0.8674726384123079,-0.8945854959693668
2026-08-04T14-20-33_tanh_4_35,200,100,5,tanh,4,1,0.0095326,0.1483881,0.0078684,0.1344482,0.0063422,0.1268367,0.6486384683107069,-0.0018697335832575,-12.127160096357915,0.7936795055557007,-1.001283536127486
2026-08-04T14-20-33_tanh_4_36,200,100,5,tanh,4,1,0.0197288,0.2103005,0.0243311,0.2392547,0.0255258,0.2158356,-1.014031154392827,-1.1225093966233477,-18.53325914283229,0.4318330422349009,-2.8000499583468383
2026-08-04T14-20-33_tanh_4_37,200,100,5,tanh,4,1,0.0069706,0.1246467,0.0098221,0.1417639,0.0122675,0.1644237,0.3702471686661227,-0.019981604892382,-14.875894303770568,0.7755703606070805,-0.4908661903920486
2026-08-04T14-20-33_tanh_4_38,200,100,5,tanh,4,1,0.0217984,0.2148217,0.0196763,0.2256123,0.0461895,0.2721807,-0.5522532690367631,-0.6835955818926827,-15.919281722803868,0.7345852387470038,-0.3495642335977961
2026-08-04T14-20-33_tanh_4_39,200,100,5,tanh,4,1,0.0196143,0.2090533,0.0148723,0.1976356,0.0142327,0.177417,-0.0028795991032923,-0.9048438671198572,-4.620551640443946,0.881809568194049,-0.3448301724555634
2026-08-04T14-20-33_tanh_4_40,200,100,5,tanh,4,1,0.009757,0.1426911,0.0125952,0.1728977,0.0141416,0.1876441,0.0011168604244833,-0.1487612634971031,-9.106523982989447,0.8317733951415178,-0.3933576742685885
2026-08-04T14-20-33_tanh_4_41,200,100,5,tanh,4,1,0.0076048,0.123741,0.007664,0.1374572,0.0102222,0.1507143,-0.0074400312292461,-0.5229730768362801,-10.314971893811371,0.8208919470964646,-0.3690456685558929
2026-08-04T14-20-33_tanh_4_42,200,100,5,tanh,4,1,0.0039685,0.0920331,0.0039636,0.0975027,0.0055765,0.1142828,0.3339906339861616,-0.0224951195223364,-13.11717370895327,0.7517002599147481,-0.7861876227224635
